	V1	meanHet	SE_het	NAs	population	group	knnImputed	binomImputed	binomPopulation
196	RB_06_6_HFNFVBBXY	0.27807748896517903	0.00943427046006609	155.0	RB_06	RB	0.268003646308113	0.29671833	0.2584321
197	RB_06_73_HFNFVBBXY	0.2790588235294118	0.01057295564038528	69.0	RB_06	RB	0.2757520510483136	0.28760254	0.2702826
198	RB_06_75_HFNFVBBXY	0.24409068982151472	0.01039625237582387	121.0	RB_06	RB	0.2411121239744758	0.25706473	0.23062898
199	RB_06_7_HFNFVBBXY	0.2686993806574559	0.009950518013645594	95.0	RB_06	RB	0.2670920692798542	0.2775752	0.25706473
200	RB_06_82_HFNFVBBXY	0.2844168260038241	0.008531646418575801	102.0	RB_06	RB	0.27711941659070194	0.29216045	0.27119416
201	RB_06_83_HFNFVBBXY	0.2497409326424871	0.010857480789158153	264.0	RB_06	RB	0.23928896991795812	0.28486782	0.34001824
202	RB_07_61_HFNFVBBXY	0.2749500998003992	0.010116969900301543	190.0	RB_07	RB	0.26845943482224244	0.29079306	0.25113946
203	RB_16_30_HFH73BBXY	0.2830845771144279	0.00927066869845962	184.0	RB_16	RB	0.2780309936189608	0.30492252	0.25934365
204	RB_16_32_HFH73BBXY	0.30941286113699906	0.009391806431301483	48.0	RB_16	RB	0.30628988149498637	0.31449407	0.32452142
205	RB_16_33_HFH73BBXY	0.28858098423315814	0.009368611314851883	101.0	RB_16	RB	0.2825888787602553	0.29717413	0.27529627
206	RB_16_34_HFH73BBXY	0.2681159420289855	0.009002083074662959	124.0	RB_16	RB	0.2629899726526892	0.28441203	0.3094804
207	RB_16_35_HFH73BBXY	0.27083333333333337	0.009537854095613816	130.0	RB_16	RB	0.2652689152233364	0.28486782	0.25478578
208	RB_16_37_HFH73BBXY	0.2873618452666987	0.009714896636739264	113.0	RB_16	RB	0.2812215132178669	0.3008204	0.27256152
209	RB_16_38_HFH73BBXY	0.25379939209726443	0.009716190891554143	220.0	RB_16	RB	0.2543299908842297	0.2734731	0.32862353
210	RB_16_39_HFH73BBXY	0.2684108527131783	0.009153270899089091	130.0	RB_16	RB	0.26435733819507745	0.28486782	0.31175935
211	RB_16_43_HFH73BBXY	0.2423224568138196	0.010189330597474806	110.0	RB_16	RB	0.24020054694621695	0.25706473	0.28030995
212	RB_16_44_HFH73BBXY	0.2539007092198582	0.009179971118915933	79.0	RB_16	RB	0.2502278942570647	0.26572472	0.2807657
213	RB_16_45_HFH73BBXY	0.24858174316658066	0.009987626907024299	255.0	RB_16	RB	0.2452142206016409	0.2739289	0.21969007
214	RB_16_46_HFH73BBXY	0.255175983436853	0.009156153743632663	262.0	RB_16	RB	0.2525068368277119	0.27939835	0.34412032
215	RB_16_47_HFH73BBXY	0.2773190869354055	0.009300884812058504	135.0	RB_16	RB	0.272105742935278	0.28851414	0.3217867
216	RB_16_48_HFH73BBXY	0.2906309751434034	0.010703744045892225	102.0	RB_16	RB	0.28623518687329075	0.29945305	0.32360986
217	RB_16_49_HFH73BBXY	0.2740949694405266	0.008906085158813646	67.0	RB_16	RB	0.2693710118505014	0.2784868	0.26572472
218	RB_16_50_HFH73BBXY	0.27556409025444073	0.010412348767938683	111.0	RB_16	RB	0.2739288969917958	0.28714678	0.2616226
219	RB_16_84_HFH73BBXY	0.30260047281323876	0.010254781264642543	79.0	RB_16	RB	0.29671832269826803	0.3099362	0.29170465
220	RB_16_85_HFH73BBXY	0.27184466019417475	0.0082311005428953	134.0	RB_16	RB	0.2670920692798542	0.2821331	0.31631723
221	RB_16_86_HFH73BBXY	0.2784332232184993	0.009994667264166217	75.0	RB_16	RB	0.276207839562443	0.28304467	0.26891524
222	RB_16_87_HFH73BBXY	0.27861163227016883	0.010681190941305369	62.0	RB_16	RB	0.27484047402005474	0.28395623	0.29899725
223	RB_16_88_HFH73BBXY	0.2959381044487428	0.011475429320918159	126.0	RB_16	RB	0.2898814949863263	0.3099362	0.27894258
224	RB_16_91_HFH73BBXY	0.27434908389585344	0.009837881770090874	120.0	RB_16	RB	0.2739288969917958	0.28760254	0.31403828
225	RB_16_92_HFH73BBXY	0.2901888530631046	0.009766740174761923	23.0	RB_16	RB	0.29033728350045573	0.29124886	0.2976299
226	RB_16_93_HFH73BBXY	0.25405147759771207	0.010249473861532823	96.0	RB_16	RB	0.2515952597994531	0.26071104	0.28669098
